fecha,recurso,gasto,inversion
2010-01-04 00:00:00-04,11558423.27,36205852.24,39408686.05
2010-02-01 00:00:00-04,11047246.4,34394512.97,49755011.55
2010-03-01 00:00:00-04,13050380.48,45135095.27,76207873.47
2010-04-01 00:00:00-04,63522551.12,36270908.48,91792658.98
2010-05-03 00:00:00-04,156691508.28,48082092.23,38740746.2
2010-06-01 00:00:00-04,14756269.54,31814404.94,89759672.95
2010-07-01 00:00:00-04,103531114.45,31393082.9,88985078.22
2010-08-02 00:00:00-04,16220965.42,37062150.22,43297701.58
2010-09-01 00:00:00-04,83840527.47,75064294.2,89715596.53
2010-10-01 00:00:00-04,33622104.07,101704302.61,-3415242.77
2010-11-01 00:00:00-04,72633075.11,65289590.04,120914709.33
2010-12-01 00:00:00-04,400221707.16,-670284992.99,131310625.35
2009-01-05 00:00:00-04,0.0,6929193.36,54293900.95
2009-02-02 00:00:00-04,0.0,12511513.98,1871403.55
2009-03-02 00:00:00-04,0.0,24176421.22,12329529.83
2009-04-01 00:00:00-04,0.0,20029612.77,-26273694.93
2009-05-04 00:00:00-04,0.0,24217150.93,9905262.21
2009-06-01 00:00:00-04,0.0,27777938.83,12922030.43
2009-07-01 00:00:00-04,0.0,22494638.82,11289192.98
2009-08-01 00:00:00-04,0.0,9687519.22,79769939.23
2009-09-01 00:00:00-04,0.0,8285827.96,88984103.46
2009-10-01 00:00:00-04,0.0,3733373.49,84409874.71
2009-11-03 00:00:00-04,0.0,15577422.94,21246760.55
2008-12-31 00:00:00-04,0.0,35559900.52,-30313919.95
2011-01-03 00:00:00-04,17326392.24,239903180.9,219935585.39
2011-02-01 00:00:00-04,56242219.84,181565953.09,111310954.01
2011-03-01 00:00:00-04,119418719.69,109587541.26,148583991.08
2011-04-01 00:00:00-04,19037540.1,69699458.3,69988219.31
2011-05-02 00:00:00-04,63630557.05,61569786.66,41563845.08
2011-06-01 00:00:00-04,295350712.13,263193174.5,126762097.07
2011-07-01 00:00:00-04,70571056.51,78858269.8,390690422.35
2011-08-01 00:00:00-04,1470032904.68,2020212843.98,79812404.94
2011-09-01 00:00:00-04,-2221004144.85,-2596438041.59,-346084494.69
2011-10-01 00:00:00-04,1496192393.2,2871864693.4,282356034.78
2011-11-01 00:00:00-04,1190555019.71,1811316916.96,209711843.1
2011-12-01 00:00:00-04,25622528.65,-68492822.63,-29009157.41
2012-01-01 00:00:00-04,26781360.31,74460150.9,157151878.91
2012-02-01 00:00:00-04,88337563.85,144104257.5,78384802.53
2012-03-01 00:00:00-04,176510320.8,231434346.09,126207161.18
2012-04-01 00:00:00-04,87956405.09,82325826.92,238877400.81
2012-05-01 00:00:00-04,116642967.29,90545340.76,59879443.49
2012-06-01 00:00:00-04,-172329968.92,94133333.29,-201890386.85
2012-07-01 00:00:00-04,34022165.79,59507556.15,234940046.76
2012-08-01 00:00:00-04,540864906.42,696826939.3,94921040.24
2012-09-01 00:00:00-04,100647980.67,55206504.89,71441440.29
2012-10-01 00:00:00-04,1090033495.5,1467404508.32,178795936.48
2012-11-01 00:00:00-04,154395894.09,88871307.46,310546640.77
